,Date 16/02/2026
Rice,43.06
Wheat,31.72
Atta (Wheat),37.25
Gram Dal,86.06
Tur/Arhar Dal,120.65
Urad Dal,115.95
Moong Dal,110.76
Masoor Dal,89.22
Sugar,46.28
Milk @,59.08
Groundnut Oil (Packed),193.68
Mustard Oil (Packed),186.77
Vanaspati (Packed),156.89
Soya Oil (Packed),150.19
Sunflower Oil (Packed),173.61
Palm Oil (Packed),135.94
Gur,57.01
Tea Loose,272.46
Salt Pack (Iodised),21.56
Potato,22.19
Onion,27.39
Tomato,31.8
Bajra (whole),37.99
Jowar (whole),43.89
Maida (wheat),41.77
Ragi (whole),54.3
Suji (whole),46.58
Besan,95.77
Desi Ghee,679.74
Butter (Pasteurised),58.91
Eggs,82.03
Brinjal,39.59
Black Pepper (whole),87.02
Coriander (whole),37.52
Cummin Seed (whole),40.83
Red Chillies (whole),27.94
Turmeric (powder),16.25
Banana,47.2
Ginger,24.73
Garlic,38.83
