,Date 23/01/2026
Rice,43.3
Wheat,31.6
Atta (Wheat),36.99
Gram Dal,86.02
Tur/Arhar Dal,116.5
Urad Dal,114.36
Moong Dal,110.49
Masoor Dal,89.34
Sugar,46.32
Milk @,59.43
Groundnut Oil (Packed),190.5
Mustard Oil (Packed),184.97
Vanaspati (Packed),156.57
Soya Oil (Packed),147.89
Sunflower Oil (Packed),169.42
Palm Oil (Packed),133.48
Gur,57.54
Tea Loose,271.02
Salt Pack (Iodised),21.22
Potato,24.0
Onion,28.97
Tomato,43.36
Bajra (whole),37.72
Jowar (whole),43.52
Maida (wheat),42.28
Ragi (whole),54.99
Suji (whole),47.36
Besan,96.37
Desi Ghee,677.1
Butter (Pasteurised),59.17
Eggs,83.91
Brinjal,41.71
Black Pepper (whole),87.2
Coriander (whole),37.94
Cummin Seed (whole),41.77
Red Chillies (whole),27.82
Turmeric (powder),16.43
Banana,47.25
Ginger,24.84
Garlic,39.22
