,Date 15/03/2026
Rice,42.2
Wheat,31.31
Atta (Wheat),37.11
Gram Dal,84.23
Tur/Arhar Dal,120.74
Urad Dal,116.8
Moong Dal,109.79
Masoor Dal,88.12
Sugar,45.88
Milk @,58.3
Groundnut Oil (Packed),197.45
Mustard Oil (Packed),185.23
Vanaspati (Packed),155.87
Soya Oil (Packed),152.2
Sunflower Oil (Packed),179.66
Palm Oil (Packed),141.05
Gur,55.83
Tea Loose,262.1
Salt Pack (Iodised),21.9
Potato,20.1
Onion,24.73
Tomato,26.42
Bajra (whole),37.6
Jowar (whole),43.66
Maida (wheat),40.99
Ragi (whole),55.67
Suji (whole),44.78
Besan,94.53
Desi Ghee,679.25
Butter (Pasteurised),58.8
Eggs,78.11
Brinjal,36.88
Black Pepper (whole),86.42
Coriander (whole),36.69
Cummin Seed (whole),39.78
Red Chillies (whole),28.01
Turmeric (powder),15.98
Banana,46.4
Ginger,24.56
Garlic,36.09
