,Date 16/09/2026
Rice,46.48
Broken Rice,33.81
Wheat,31.73
Atta (Wheat),37.42
Gram Dal,88.13
Tur/Arhar Dal,124.39
Urad Dal,122.78
Moong Dal,112.16
Masoor Dal,90.72
Sugar,58.93
Milk @,61.26
Groundnut Oil (Packed),209.83
Mustard Oil (Packed),202.32
Vanaspati (Packed),168.31
Soya Oil (Packed),166.3
Sunflower Oil (Packed),193.72
Palm Oil (Packed),151.92
Gur,66.94
Tea Loose,276.66
Salt Pack (Iodised),22.33
Potato,22.94
Onion,53.84
Tomato,38.96
Bajra (whole),38.45
Jowar (whole),45.13
Maida (wheat),42.57
Ragi (whole),55.99
Suji (whole),47.52
Besan,96.83
Desi Ghee,700.29
Butter (Pasteurised),60.43
Eggs,83.68
Brinjal,43.11
Black Pepper (whole),88.49
Coriander (whole),43.89
Cummin Seed (whole),40.62
Red Chillies (whole),30.5
Turmeric (powder),16.76
Banana,49.69
Ginger,36.37
Garlic,45.18
