Date 15/02/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.57,64,,
Unit:(Rs./Kg.),Wheat,32.93,54,,
,Atta (Wheat),38.19,71,,
,Gram Dal,90.43,140,,
,Tur/Arhar Dal,139.92,180,,
,Urad Dal,121.48,161,,
,Moong Dal,112.85,147,,
,Masoor Dal,88.66,130,,
,Sugar,45.22,60,,
,Milk @,58.64,83,,
,Groundnut Oil (Packed),191.76,280,,
,Mustard Oil (Packed),168.75,233,,
,Vanaspati (Packed),150.55,209,,
,Soya Oil (Packed),144.82,202,,
,Sunflower Oil (Packed),156.04,211,,
,Palm Oil (Packed),136.74,176,,
,Gur,54.29,130,,
,Tea Loose,268.13,520,,
,Salt Pack (Iodised),21.43,31,,
,Potato,25.33,65,,
,Onion,36.16,77,,
,Tomato,22.74,100,,
