Date 05/06/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.64,63,,
Unit:(Rs./Kg.),Wheat,31.24,55,,
,Atta (Wheat),36.66,71,,
,Gram Dal,86.52,140,,
,Tur/Arhar Dal,124.61,185,,
,Urad Dal,116.41,157,,
,Moong Dal,111.52,148,,
,Masoor Dal,88.2,130,,
,Sugar,45.93,60,,
,Milk @,59.29,83,,
,Groundnut Oil (Packed),188.56,279,,
,Mustard Oil (Packed),171.27,242,,
,Vanaspati (Packed),156.04,231,,
,Soya Oil (Packed),146.86,189,,
,Sunflower Oil (Packed),161,231,,
,Palm Oil (Packed),133.23,182,,
,Gur,55.2,150,,
,Tea Loose,270.4,600,,
,Salt Pack (Iodised),21.43,31,,
,Potato,24.9,60,,
,Onion,26.23,60,,
,Tomato,27.68,100,,
