Date 30/05/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.78,64,,
Unit:(Rs./Kg.),Wheat,31.34,55,,
,Atta (Wheat),36.86,71,,
,Gram Dal,86.68,140,,
,Tur/Arhar Dal,125.05,185,,
,Urad Dal,116.65,157,,
,Moong Dal,111.52,150,,
,Masoor Dal,88.05,130,,
,Sugar,45.92,62,,
,Milk @,59.05,82,,
,Groundnut Oil (Packed),188.47,279,,
,Mustard Oil (Packed),170.87,242,,
,Vanaspati (Packed),156.23,231,,
,Soya Oil (Packed),147.29,189,,
,Sunflower Oil (Packed),161.23,231,,
,Palm Oil (Packed),134.09,182,,
,Gur,55.04,140,,
,Tea Loose,270.89,600,,
,Salt Pack (Iodised),21.55,31,,
,Potato,24.77,60,,
,Onion,26.39,60,,
,Tomato,25.82,100,,
