Date 01/12/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,43.15,63,,
Unit:(Rs./Kg.),Wheat,31.77,54,,
,Atta (Wheat),37.15,71,,
,Gram Dal,86.79,140,,
,Tur/Arhar Dal,115.79,182,,
,Urad Dal,113.86,155,,
,Moong Dal,110.61,148,,
,Masoor Dal,89.65,136,,
,Sugar,46.59,60,,
,Milk @,59.3,84,,
,Groundnut Oil (Packed),187.6,286,,
,Mustard Oil (Packed),186.58,249,,
,Vanaspati (Packed),156.15,231,,
,Soya Oil (Packed),146.59,198,,
,Sunflower Oil (Packed),164.93,242,,
,Palm Oil (Packed),132.53,187,,
,Gur,57.4,137,,
,Tea Loose,271.54,560,,
,Salt Pack (Iodised),21.5,35,,
,Potato,26.75,60,,
,Onion,26.74,60,,
,Tomato,51.23,120,,
