,Date 09/03/2026
Rice,43.18
Wheat,31.26
Atta (Wheat),36.95
Gram Dal,85.75
Tur/Arhar Dal,121.69
Urad Dal,116.86
Moong Dal,110.68
Masoor Dal,89.55
Sugar,46.38
Milk @,59.24
Groundnut Oil (Packed),195.24
Mustard Oil (Packed),186.22
Vanaspati (Packed),156.74
Soya Oil (Packed),151.49
Sunflower Oil (Packed),176.38
Palm Oil (Packed),136.52
Gur,56.97
Tea Loose,272.65
Salt Pack (Iodised),21.65
Potato,21.42
Onion,26.45
Tomato,29.05
Bajra (whole),37.84
Jowar (whole),43.93
Maida (wheat),41.71
Ragi (whole),54.52
Suji (whole),46.7
Besan,95.77
Desi Ghee,680.38
Butter (Pasteurised),58.97
Eggs,79.88
Brinjal,39.02
Black Pepper (whole),87.01
Coriander (whole),37.81
Cummin Seed (whole),40.74
Red Chillies (whole),28.15
Turmeric (powder),16.38
Banana,47.93
Ginger,24.9
Garlic,37.99
