,Date 06/05/2026
Rice,43.23
Wheat,31.06
Atta (Wheat),36.79
Gram Dal,85.18
Tur/Arhar Dal,122.53
Urad Dal,118.14
Moong Dal,111.46
Masoor Dal,89.75
Sugar,46.57
Milk @,59.9
Groundnut Oil (Packed),200.92
Mustard Oil (Packed),189.45
Vanaspati (Packed),160.84
Soya Oil (Packed),158.73
Sunflower Oil (Packed),185.72
Palm Oil (Packed),144.24
Gur,58.04
Tea Loose,275.0
Salt Pack (Iodised),21.78
Potato,20.92
Onion,25.26
Tomato,35.07
Bajra (whole),37.63
Jowar (whole),43.97
Maida (wheat),41.94
Ragi (whole),54.66
Suji (whole),47.09
Besan,95.28
Desi Ghee,685.73
Butter (Pasteurised),59.09
Eggs,78.76
Brinjal,40.65
Black Pepper (whole),87.43
Coriander (whole),38.63
Cummin Seed (whole),41.07
Red Chillies (whole),28.63
Turmeric (powder),16.57
Banana,48.2
Ginger,25.8
Garlic,36.71
