,Date 04/02/2026
Rice,43.3
Wheat,31.91
Atta (Wheat),37.3
Gram Dal,86.04
Tur/Arhar Dal,119.22
Urad Dal,115.46
Moong Dal,110.57
Masoor Dal,89.24
Sugar,46.3
Milk @,59.1
Groundnut Oil (Packed),191.61
Mustard Oil (Packed),186.73
Vanaspati (Packed),157.05
Soya Oil (Packed),149.31
Sunflower Oil (Packed),172.43
Palm Oil (Packed),134.94
Gur,57.09
Tea Loose,270.95
Salt Pack (Iodised),21.35
Potato,23.17
Onion,28.14
Tomato,35.74
Bajra (whole),37.7
Jowar (whole),43.57
Maida (wheat),42.17
Ragi (whole),54.44
Suji (whole),47.06
Besan,95.93
Desi Ghee,678.38
Butter (Pasteurised),59.08
Eggs,83.03
Brinjal,40.86
Black Pepper (whole),87.0
Coriander (whole),37.62
Cummin Seed (whole),41.4
Red Chillies (whole),27.83
Turmeric (powder),16.41
Banana,47.08
Ginger,24.67
Garlic,38.97
