,Date 20/04/2026
Rice,43.01
Wheat,30.99
Atta (Wheat),36.83
Gram Dal,85.1
Tur/Arhar Dal,122.4
Urad Dal,117.74
Moong Dal,111.4
Masoor Dal,89.49
Sugar,46.49
Milk @,59.62
Groundnut Oil (Packed),200.1
Mustard Oil (Packed),188.63
Vanaspati (Packed),159.96
Soya Oil (Packed),158.34
Sunflower Oil (Packed),184.57
Palm Oil (Packed),143.27
Gur,57.33
Tea Loose,275.54
Salt Pack (Iodised),21.72
Potato,20.3
Onion,24.89
Tomato,29.24
Bajra (whole),37.48
Jowar (whole),43.63
Maida (wheat),41.76
Ragi (whole),54.57
Suji (whole),46.8
Besan,95.58
Desi Ghee,684.62
Butter (Pasteurised),58.87
Eggs,77.92
Brinjal,39.65
Black Pepper (whole),87.34
Coriander (whole),38.48
Cummin Seed (whole),40.89
Red Chillies (whole),28.61
Turmeric (powder),16.45
Banana,48.12
Ginger,25.15
Garlic,36.5
