,Date 21/05/2026
Rice,43.14
Wheat,30.93
Atta (Wheat),36.77
Gram Dal,84.96
Tur/Arhar Dal,122.48
Urad Dal,118.24
Moong Dal,111.48
Masoor Dal,89.81
Sugar,46.69
Milk @,60.15
Groundnut Oil (Packed),201.4
Mustard Oil (Packed),189.15
Vanaspati (Packed),161.15
Soya Oil (Packed),159.54
Sunflower Oil (Packed),185.71
Palm Oil (Packed),144.59
Gur,57.98
Tea Loose,274.67
Salt Pack (Iodised),21.73
Potato,20.97
Onion,25.67
Tomato,37.22
Bajra (whole),37.75
Jowar (whole),43.71
Maida (wheat),41.99
Ragi (whole),54.8
Suji (whole),46.94
Besan,95.67
Desi Ghee,685.54
Butter (Pasteurised),59.13
Eggs,79.15
Brinjal,40.29
Black Pepper (whole),87.63
Coriander (whole),39.21
Cummin Seed (whole),41.13
Red Chillies (whole),29.01
Turmeric (powder),16.48
Banana,48.45
Ginger,27.64
Garlic,37.6
