Date 16/12/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,43.12,65,,
Unit:(Rs./Kg.),Wheat,31.73,54,,
,Atta (Wheat),37.14,71,,
,Gram Dal,86.78,140,,
,Tur/Arhar Dal,115.81,190,,
,Urad Dal,113.68,155,,
,Moong Dal,110.41,148,,
,Masoor Dal,89.7,142,,
,Sugar,46.59,60,,
,Milk @,59.32,85,,
,Groundnut Oil (Packed),188.19,286,,
,Mustard Oil (Packed),186.37,257,,
,Vanaspati (Packed),156.42,231,,
,Soya Oil (Packed),146.8,192,,
,Sunflower Oil (Packed),165.57,231,,
,Palm Oil (Packed),133.09,179,,
,Gur,57.29,137,,
,Tea Loose,271.89,650,,
,Salt Pack (Iodised),21.54,36,,
,Potato,25.87,56,,
,Onion,28.2,60,,
,Tomato,48.94,120,,
