,Date 23/06/2026
Rice,43.84
Broken Rice,32.9
Wheat,31.01
Atta (Wheat),36.82
Gram Dal,85.81
Tur/Arhar Dal,122.66
Urad Dal,118.82
Moong Dal,111.52
Masoor Dal,89.95
Sugar,46.92
Milk @,60.5
Groundnut Oil (Packed),203.69
Mustard Oil (Packed),192.79
Vanaspati (Packed),164.04
Soya Oil (Packed),162.85
Sunflower Oil (Packed),188.13
Palm Oil (Packed),147.36
Gur,58.26
Tea Loose,274.4
Salt Pack (Iodised),21.78
Potato,22.19
Onion,27.9
Tomato,43.85
Bajra (whole),38.14
Jowar (whole),44.21
Maida (wheat),42.07
Ragi (whole),54.88
Suji (whole),47.07
Besan,95.92
Desi Ghee,691.11
Butter (Pasteurised),59.43
Eggs,81.91
Brinjal,41.78
Black Pepper (whole),87.83
Coriander (whole),40.42
Cummin Seed (whole),40.99
Red Chillies (whole),29.15
Turmeric (powder),16.57
Banana,48.95
Ginger,30.85
Garlic,39.62
