Date 14/05/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.68,65,,
Unit:(Rs./Kg.),Wheat,31.27,55,,
,Atta (Wheat),36.82,70,,
,Gram Dal,86.7,140,,
,Tur/Arhar Dal,126.96,190,,
,Urad Dal,117.7,153,,
,Moong Dal,111.47,150,,
,Masoor Dal,88.08,130,,
,Sugar,45.82,62,,
,Milk @,58.77,82,,
,Groundnut Oil (Packed),188.51,264,,
,Mustard Oil (Packed),169.4,242,,
,Vanaspati (Packed),154.44,220,,
,Soya Oil (Packed),146.7,196,,
,Sunflower Oil (Packed),160.69,209,,
,Palm Oil (Packed),135.09,182,,
,Gur,54.66,120,,
,Tea Loose,271.07,600,,
,Salt Pack (Iodised),21.45,31,,
,Potato,24.48,60,,
,Onion,27.21,65,,
,Tomato,23.2,100,,
