,Date 16/05/2026
Rice,42.72
Wheat,30.76
Atta (Wheat),36.75
Gram Dal,84.85
Tur/Arhar Dal,121.8
Urad Dal,118.07
Moong Dal,111.32
Masoor Dal,89.36
Sugar,46.72
Milk @,60.16
Groundnut Oil (Packed),200.36
Mustard Oil (Packed),188.63
Vanaspati (Packed),161.16
Soya Oil (Packed),159.96
Sunflower Oil (Packed),185.81
Palm Oil (Packed),144.29
Gur,57.96
Tea Loose,273.24
Salt Pack (Iodised),21.46
Potato,20.85
Onion,25.42
Tomato,35.57
Bajra (whole),38.26
Jowar (whole),44.33
Maida (wheat),41.66
Ragi (whole),54.65
Suji (whole),46.25
Besan,95.61
Desi Ghee,687.75
Butter (Pasteurised),58.87
Eggs,78.71
Brinjal,39.86
Black Pepper (whole),87.28
Coriander (whole),38.38
Cummin Seed (whole),41.32
Red Chillies (whole),28.56
Turmeric (powder),16.35
Banana,48.57
Ginger,26.95
Garlic,36.84
