,Date 27/03/2026
Rice,43.33
Wheat,31.35
Atta (Wheat),37.23
Gram Dal,86.58
Tur/Arhar Dal,123.48
Urad Dal,118.33
Moong Dal,111.85
Masoor Dal,90.53
Sugar,46.62
Milk @,59.62
Groundnut Oil (Packed),200.54
Mustard Oil (Packed),186.95
Vanaspati (Packed),159.47
Soya Oil (Packed),154.66
Sunflower Oil (Packed),182.68
Palm Oil (Packed),143.53
Gur,58.23
Tea Loose,272.36
Salt Pack (Iodised),21.67
Potato,20.76
Onion,26.19
Tomato,28.88
Bajra (whole),38.11
Jowar (whole),44.43
Maida (wheat),42.23
Ragi (whole),55.84
Suji (whole),47.74
Besan,96.37
Desi Ghee,684.79
Butter (Pasteurised),59.24
Eggs,78.2
Brinjal,39.18
Black Pepper (whole),87.11
Coriander (whole),38.36
Cummin Seed (whole),41.78
Red Chillies (whole),29.11
Turmeric (powder),16.59
Banana,49.05
Ginger,25.1
Garlic,37.87
