Date 14/11/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,43.12,63,,
Unit:(Rs./Kg.),Wheat,31.98,54,,
,Atta (Wheat),37.27,71,,
,Gram Dal,87.08,140,,
,Tur/Arhar Dal,115.83,182,,
,Urad Dal,113.93,155,,
,Moong Dal,110.63,148,,
,Masoor Dal,89.73,134,,
,Sugar,46.6,60,,
,Milk @,59.49,84,,
,Groundnut Oil (Packed),186.96,279,,
,Mustard Oil (Packed),187.12,246,,
,Vanaspati (Packed),156.57,231,,
,Soya Oil (Packed),146.37,198,,
,Sunflower Oil (Packed),164.38,242,,
,Palm Oil (Packed),132.84,187,,
,Gur,57.6,128,,
,Tea Loose,272.5,560,,
,Salt Pack (Iodised),21.36,35,,
,Potato,26.84,60,,
,Onion,27.01,61,,
,Tomato,41.1,120,,
