,Date 26/05/2026
Rice,43.15
Wheat,30.88
Atta (Wheat),36.8
Gram Dal,85.34
Tur/Arhar Dal,122.49
Urad Dal,118.41
Moong Dal,111.51
Masoor Dal,90.02
Sugar,46.72
Milk @,60.19
Groundnut Oil (Packed),201.84
Mustard Oil (Packed),189.91
Vanaspati (Packed),161.86
Soya Oil (Packed),160.58
Sunflower Oil (Packed),185.83
Palm Oil (Packed),145.31
Gur,58.02
Tea Loose,274.39
Salt Pack (Iodised),21.73
Potato,21.15
Onion,25.72
Tomato,37.31
Bajra (whole),37.9
Jowar (whole),44.01
Maida (wheat),41.98
Ragi (whole),54.9
Suji (whole),46.97
Besan,95.54
Desi Ghee,686.97
Butter (Pasteurised),59.12
Eggs,79.24
Brinjal,40.77
Black Pepper (whole),87.78
Coriander (whole),39.09
Cummin Seed (whole),40.88
Red Chillies (whole),28.98
Turmeric (powder),16.51
Banana,48.38
Ginger,28.06
Garlic,37.67
