,Date 21/04/2026
Rice,42.91
Wheat,31.01
Atta (Wheat),36.79
Gram Dal,85.09
Tur/Arhar Dal,122.3
Urad Dal,117.63
Moong Dal,111.32
Masoor Dal,89.51
Sugar,46.49
Milk @,59.59
Groundnut Oil (Packed),199.83
Mustard Oil (Packed),188.98
Vanaspati (Packed),159.89
Soya Oil (Packed),157.96
Sunflower Oil (Packed),184.68
Palm Oil (Packed),143.05
Gur,57.26
Tea Loose,275.05
Salt Pack (Iodised),21.68
Potato,20.14
Onion,24.81
Tomato,29.79
Bajra (whole),37.38
Jowar (whole),43.56
Maida (wheat),41.72
Ragi (whole),54.54
Suji (whole),46.64
Besan,95.46
Desi Ghee,684.38
Butter (Pasteurised),58.78
Eggs,78.01
Brinjal,39.87
Black Pepper (whole),87.4
Coriander (whole),38.28
Cummin Seed (whole),40.87
Red Chillies (whole),28.68
Turmeric (powder),16.41
Banana,47.96
Ginger,25.16
Garlic,36.69
