,Date 07/04/2026
Rice,43.05
Wheat,30.93
Atta (Wheat),36.82
Gram Dal,85.29
Tur/Arhar Dal,122.48
Urad Dal,117.54
Moong Dal,111.13
Masoor Dal,89.47
Sugar,46.49
Milk @,59.62
Groundnut Oil (Packed),199.43
Mustard Oil (Packed),187.99
Vanaspati (Packed),159.41
Soya Oil (Packed),156.5
Sunflower Oil (Packed),183.89
Palm Oil (Packed),143.05
Gur,57.19
Tea Loose,273.72
Salt Pack (Iodised),21.62
Potato,20.41
Onion,25.11
Tomato,27.12
Bajra (whole),37.75
Jowar (whole),43.82
Maida (wheat),41.79
Ragi (whole),54.93
Suji (whole),46.81
Besan,95.65
Desi Ghee,682.56
Butter (Pasteurised),59.05
Eggs,77.28
Brinjal,38.6
Black Pepper (whole),87.13
Coriander (whole),38.28
Cummin Seed (whole),40.92
Red Chillies (whole),28.48
Turmeric (powder),16.39
Banana,48.21
Ginger,24.8
Garlic,36.65
