Date 12/01/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.3,65,,
Unit:(Rs./Kg.),Wheat,32.82,57,,
,Atta (Wheat),37.78,65,,
,Gram Dal,91.94,140,,
,Tur/Arhar Dal,151.87,181,,
,Urad Dal,122.82,160,,
,Moong Dal,111.92,150,,
,Masoor Dal,87.77,130,,
,Sugar,44.26,60,,
,Milk @,58.25,85,,
,Groundnut Oil (Packed),192.38,275,,
,Mustard Oil (Packed),170.35,221,,
,Vanaspati (Packed),148.36,211,,
,Soya Oil (Packed),144.45,192,,
,Sunflower Oil (Packed),154.86,209,,
,Palm Oil (Packed),136.5,165,,
,Gur,53.5,130,,
,Tea Loose,262.55,520,,
,Salt Pack (Iodised),22.31,31,,
,Potato,29.86,60,,
,Onion,38.01,80,,
,Tomato,28.66,100,,
