Date 20/02/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,43.06,67,,
Unit:(Rs./Kg.),Wheat,32.82,55,,
,Atta (Wheat),38.06,71,,
,Gram Dal,90.45,140,,
,Tur/Arhar Dal,140.55,187,,
,Urad Dal,121.77,161,,
,Moong Dal,112.99,150,,
,Masoor Dal,88.98,130,,
,Sugar,45.21,60,,
,Milk @,58.25,83,,
,Groundnut Oil (Packed),192.83,279,,
,Mustard Oil (Packed),168.27,225,,
,Vanaspati (Packed),149.83,211,,
,Soya Oil (Packed),145.04,194,,
,Sunflower Oil (Packed),155.74,206,,
,Palm Oil (Packed),137,176,,
,Gur,54.13,130,,
,Tea Loose,270.87,520,,
,Salt Pack (Iodised),21.39,31,,
,Potato,25.07,65,,
,Onion,37.05,77,,
,Tomato,22.52,100,,
