,Date 14/02/2026
Rice,42.03
Wheat,31.76
Atta (Wheat),37.55
Gram Dal,84.89
Tur/Arhar Dal,119.99
Urad Dal,115.81
Moong Dal,110.42
Masoor Dal,88.35
Sugar,46.52
Milk @,59.38
Groundnut Oil (Packed),192.75
Mustard Oil (Packed),186.79
Vanaspati (Packed),156.36
Soya Oil (Packed),149.74
Sunflower Oil (Packed),173.87
Palm Oil (Packed),136.6
Gur,56.78
Tea Loose,267.46
Salt Pack (Iodised),21.8
Potato,21.01
Onion,27.48
Tomato,31.99
Bajra (whole),38.15
Jowar (whole),44.15
Maida (wheat),41.48
Ragi (whole),54.88
Suji (whole),46.05
Besan,96.09
Desi Ghee,677.85
Butter (Pasteurised),58.99
Eggs,83.15
Brinjal,39.68
Black Pepper (whole),86.9
Coriander (whole),37.65
Cummin Seed (whole),41.28
Red Chillies (whole),28.23
Turmeric (powder),16.19
Banana,47.84
Ginger,24.52
Garlic,38.72
