,Date 30/04/2026
Rice,43.09
Wheat,30.98
Atta (Wheat),36.82
Gram Dal,84.89
Tur/Arhar Dal,122.34
Urad Dal,117.77
Moong Dal,111.48
Masoor Dal,89.67
Sugar,46.53
Milk @,59.8
Groundnut Oil (Packed),200.79
Mustard Oil (Packed),189.7
Vanaspati (Packed),160.3
Soya Oil (Packed),158.65
Sunflower Oil (Packed),185.05
Palm Oil (Packed),143.68
Gur,57.64
Tea Loose,274.5
Salt Pack (Iodised),21.72
Potato,20.39
Onion,24.89
Tomato,34.32
Bajra (whole),37.64
Jowar (whole),43.81
Maida (wheat),41.72
Ragi (whole),54.46
Suji (whole),46.92
Besan,95.48
Desi Ghee,685.75
Butter (Pasteurised),59.04
Eggs,78.27
Brinjal,40.44
Black Pepper (whole),87.55
Coriander (whole),38.52
Cummin Seed (whole),40.87
Red Chillies (whole),28.74
Turmeric (powder),16.36
Banana,47.97
Ginger,25.38
Garlic,36.63
