Date 28/12/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.05,63,,
Unit:(Rs./Kg.),Wheat,31.92,54,,
,Atta (Wheat),37.38,71,,
,Gram Dal,84.44,122,,
,Tur/Arhar Dal,113.38,160,,
,Urad Dal,113.18,152,,
,Moong Dal,109.14,148,,
,Masoor Dal,87.93,142,,
,Sugar,46.05,60,,
,Milk @,58.74,85,,
,Groundnut Oil (Packed),187.65,254,,
,Mustard Oil (Packed),186.45,257,,
,Vanaspati (Packed),154.64,231,,
,Soya Oil (Packed),147.12,194,,
,Sunflower Oil (Packed),165.57,231,,
,Palm Oil (Packed),132.86,173,,
,Gur,56.42,137,,
,Tea Loose,263.84,560,,
,Salt Pack (Iodised),21.57,36,,
,Potato,24.1,51,,
,Onion,27.57,60,,
,Tomato,50.48,120,,
