Date 11/01/2026,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42,61,,
Unit:(Rs./Kg.),Wheat,31.97,54,,
,Atta (Wheat),37.38,75,,
,Gram Dal,83.82,122,,
,Tur/Arhar Dal,113.15,160,,
,Urad Dal,113.31,152,,
,Moong Dal,109.05,140,,
,Masoor Dal,87.76,141,,
,Sugar,45.91,60,,
,Milk @,58.52,85,,
,Groundnut Oil (Packed),188.66,278,,
,Mustard Oil (Packed),185.15,257,,
,Vanaspati (Packed),155.03,230,,
,Soya Oil (Packed),147.35,196,,
,Sunflower Oil (Packed),167.14,224,,
,Palm Oil (Packed),132.79,173,,
,Gur,55.97,130,,
,Tea Loose,262.45,560,,
,Salt Pack (Iodised),21.62,36,,
,Potato,22.46,52,,
,Onion,27.49,70,,
,Tomato,47.15,120,,
