Date 25/03/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.95,65,,
Unit:(Rs./Kg.),Wheat,32.31,57,,
,Atta (Wheat),37.78,71,,
,Gram Dal,88.11,140,,
,Tur/Arhar Dal,132.79,181,,
,Urad Dal,119.48,156,,
,Moong Dal,112.49,150,,
,Masoor Dal,88.41,130,,
,Sugar,45.59,60,,
,Milk @,58.41,80,,
,Groundnut Oil (Packed),190.73,279,,
,Mustard Oil (Packed),168.89,229,,
,Vanaspati (Packed),152.43,209,,
,Soya Oil (Packed),145.99,211,,
,Sunflower Oil (Packed),158.68,206,,
,Palm Oil (Packed),138.52,177,,
,Gur,54.08,130,,
,Tea Loose,271.85,520,,
,Salt Pack (Iodised),21.34,31,,
,Potato,23.65,60,,
,Onion,32.51,80,,
,Tomato,20.84,100,,
