Date 26/02/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.51,63,,
Unit:(Rs./Kg.),Wheat,33.23,55,,
,Atta (Wheat),38.62,66,,
,Gram Dal,89.46,140,,
,Tur/Arhar Dal,137.3,182,,
,Urad Dal,121.43,161,,
,Moong Dal,112.56,140,,
,Masoor Dal,88.42,130,,
,Sugar,45.51,60,,
,Milk @,58.75,82,,
,Groundnut Oil (Packed),191.54,266,,
,Mustard Oil (Packed),169.83,223,,
,Vanaspati (Packed),151.41,197,,
,Soya Oil (Packed),145.65,194,,
,Sunflower Oil (Packed),157.04,206,,
,Palm Oil (Packed),137.79,176,,
,Gur,54.55,130,,
,Tea Loose,273.1,520,,
,Salt Pack (Iodised),21.45,31,,
,Potato,24.53,60,,
,Onion,37.35,80,,
,Tomato,22.22,100,,
