,Date 20/06/2026
Rice,43.26
Broken Rice,32.35
Wheat,30.89
Atta (Wheat),36.77
Gram Dal,85.51
Tur/Arhar Dal,122.5
Urad Dal,118.68
Moong Dal,111.37
Masoor Dal,89.29
Sugar,46.96
Milk @,60.74
Groundnut Oil (Packed),202.17
Mustard Oil (Packed),193.05
Vanaspati (Packed),164.09
Soya Oil (Packed),162.85
Sunflower Oil (Packed),188.31
Palm Oil (Packed),146.95
Gur,58.41
Tea Loose,272.08
Salt Pack (Iodised),21.61
Potato,21.95
Onion,27.43
Tomato,44.36
Bajra (whole),38.54
Jowar (whole),44.31
Maida (wheat),41.84
Ragi (whole),54.75
Suji (whole),46.74
Besan,95.86
Desi Ghee,691.39
Butter (Pasteurised),59.3
Eggs,81.38
Brinjal,41.59
Black Pepper (whole),87.67
Coriander (whole),40.12
Cummin Seed (whole),41.13
Red Chillies (whole),29.18
Turmeric (powder),16.41
Banana,49.21
Ginger,30.3
Garlic,39.16
