,Date 15/02/2026
Rice,42.2
Wheat,32.05
Atta (Wheat),37.69
Gram Dal,84.49
Tur/Arhar Dal,119.52
Urad Dal,116.08
Moong Dal,109.94
Masoor Dal,88.03
Sugar,45.98
Milk @,58.65
Groundnut Oil (Packed),193.07
Mustard Oil (Packed),185.99
Vanaspati (Packed),155.83
Soya Oil (Packed),150.14
Sunflower Oil (Packed),173.48
Palm Oil (Packed),136.7
Gur,56.26
Tea Loose,263.08
Salt Pack (Iodised),21.81
Potato,20.86
Onion,26.26
Tomato,29.33
Bajra (whole),37.72
Jowar (whole),43.43
Maida (wheat),41.03
Ragi (whole),55.2
Suji (whole),45.29
Besan,95.47
Desi Ghee,677.75
Butter (Pasteurised),58.77
Eggs,82.24
Brinjal,38.5
Black Pepper (whole),86.64
Coriander (whole),36.62
Cummin Seed (whole),39.96
Red Chillies (whole),27.62
Turmeric (powder),15.93
Banana,46.25
Ginger,24.49
Garlic,37.62
