Date 02/10/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.35,63,,
Unit:(Rs./Kg.),Wheat,31.71,53,,
,Atta (Wheat),37.3,69,,
,Gram Dal,86.62,120,,
,Tur/Arhar Dal,115.23,180,,
,Urad Dal,114.47,170,,
,Moong Dal,110.53,148,,
,Masoor Dal,89.41,140,,
,Sugar,46.73,60,,
,Milk @,59.6,83,,
,Groundnut Oil (Packed),187.59,254,,
,Mustard Oil (Packed),187.65,246,,
,Vanaspati (Packed),156.14,264,,
,Soya Oil (Packed),146.83,198,,
,Sunflower Oil (Packed),162.5,231,,
,Palm Oil (Packed),133.32,190,,
,Gur,57.82,140,,
,Tea Loose,268.34,600,,
,Salt Pack (Iodised),21.34,35,,
,Potato,24.6,57,,
,Onion,26.98,60,,
,Tomato,39.48,140,,
