,Date 25/03/2026
Rice,43.04
Wheat,31.18
Atta (Wheat),36.88
Gram Dal,85.63
Tur/Arhar Dal,122.17
Urad Dal,117.58
Moong Dal,111.05
Masoor Dal,89.3
Sugar,46.44
Milk @,59.43
Groundnut Oil (Packed),197.78
Mustard Oil (Packed),187.03
Vanaspati (Packed),157.98
Soya Oil (Packed),154.04
Sunflower Oil (Packed),181.61
Palm Oil (Packed),141.17
Gur,57.38
Tea Loose,272.93
Salt Pack (Iodised),21.6
Potato,20.84
Onion,25.66
Tomato,27.8
Bajra (whole),37.92
Jowar (whole),44.18
Maida (wheat),41.73
Ragi (whole),55.12
Suji (whole),46.63
Besan,95.64
Desi Ghee,682.22
Butter (Pasteurised),59.0
Eggs,78.41
Brinjal,38.5
Black Pepper (whole),87.11
Coriander (whole),37.99
Cummin Seed (whole),40.82
Red Chillies (whole),28.37
Turmeric (powder),16.43
Banana,48.38
Ginger,24.82
Garlic,36.9
