Date 23/09/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,43.17,64,,
Unit:(Rs./Kg.),Wheat,31.54,54,,
,Atta (Wheat),36.85,71,,
,Gram Dal,87.13,140,,
,Tur/Arhar Dal,115.89,182,,
,Urad Dal,114.15,170,,
,Moong Dal,110.5,150,,
,Masoor Dal,89.47,140,,
,Sugar,46.41,60,,
,Milk @,59.22,85,,
,Groundnut Oil (Packed),188.41,279,,
,Mustard Oil (Packed),187.68,257,,
,Vanaspati (Packed),156.67,264,,
,Soya Oil (Packed),146.44,198,,
,Sunflower Oil (Packed),162.56,253,,
,Palm Oil (Packed),132.28,190,,
,Gur,57.12,137,,
,Tea Loose,273.09,520,,
,Salt Pack (Iodised),21.64,35,,
,Potato,25.31,57,,
,Onion,27.31,60,,
,Tomato,39.84,120,,
