Date 22/08/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,43.23,197,,
Unit:(Rs./Kg.),Wheat,31.6,54,,
,Atta (Wheat),36.91,71,,
,Gram Dal,87.3,140,,
,Tur/Arhar Dal,117.19,183,,
,Urad Dal,114.07,157,,
,Moong Dal,110.38,150,,
,Masoor Dal,89.24,133,,
,Sugar,46.25,60,,
,Milk @,59.03,84,,
,Groundnut Oil (Packed),187.8,279,,
,Mustard Oil (Packed),188.42,249,,
,Vanaspati (Packed),156.17,231,,
,Soya Oil (Packed),147.7,190,,
,Sunflower Oil (Packed),161.66,231,,
,Palm Oil (Packed),131.55,190,,
,Gur,56.4,128,,
,Tea Loose,271.22,520,,
,Salt Pack (Iodised),21.39,33,,
,Potato,25.76,60,,
,Onion,28.58,60,,
,Tomato,55.2,120,,
