Date 12/04/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.01,65,,
Unit:(Rs./Kg.),Wheat,31.61,58,,
,Atta (Wheat),37.92,68,,
,Gram Dal,86.81,140,,
,Tur/Arhar Dal,129.15,184,,
,Urad Dal,119.01,150,,
,Moong Dal,112.04,150,,
,Masoor Dal,88.02,130,,
,Sugar,45.93,60,,
,Milk @,59.44,80,,
,Groundnut Oil (Packed),189.23,259,,
,Mustard Oil (Packed),169.69,224,,
,Vanaspati (Packed),152.95,211,,
,Soya Oil (Packed),147.3,211,,
,Sunflower Oil (Packed),160.17,211,,
,Palm Oil (Packed),138.45,177,,
,Gur,54.32,130,,
,Tea Loose,271.81,520,,
,Salt Pack (Iodised),21.29,31,,
,Potato,23.27,52,,
,Onion,30.44,80,,
,Tomato,21,100,,
