Date 10/10/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,43.12,64,,
Unit:(Rs./Kg.),Wheat,31.74,55,,
,Atta (Wheat),37.06,70,,
,Gram Dal,87.05,140,,
,Tur/Arhar Dal,115.37,182,,
,Urad Dal,113.82,170,,
,Moong Dal,110.47,148,,
,Masoor Dal,89.68,140,,
,Sugar,46.48,60,,
,Milk @,59.3,82,,
,Groundnut Oil (Packed),187.64,254,,
,Mustard Oil (Packed),187.72,246,,
,Vanaspati (Packed),156.69,264,,
,Soya Oil (Packed),146.81,198,,
,Sunflower Oil (Packed),163.18,231,,
,Palm Oil (Packed),132.53,190,,
,Gur,57.33,140,,
,Tea Loose,271.12,600,,
,Salt Pack (Iodised),21.32,35,,
,Potato,25.24,52,,
,Onion,26.65,60,,
,Tomato,38.23,120,,
