Date 06/02/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,43.09,67,,
Unit:(Rs./Kg.),Wheat,32.79,57,,
,Atta (Wheat),37.89,71,,
,Gram Dal,91.1,140,,
,Tur/Arhar Dal,144.41,187,,
,Urad Dal,122.19,165,,
,Moong Dal,113.27,150,,
,Masoor Dal,89,130,,
,Sugar,45,60,,
,Milk @,58.46,82,,
,Groundnut Oil (Packed),193.15,279,,
,Mustard Oil (Packed),168.75,228,,
,Vanaspati (Packed),148.9,211,,
,Soya Oil (Packed),144.16,202,,
,Sunflower Oil (Packed),154.79,211,,
,Palm Oil (Packed),135.45,176,,
,Gur,54.42,130,,
,Tea Loose,272.99,520,,
,Salt Pack (Iodised),21.66,31,,
,Potato,26.58,65,,
,Onion,36.09,80,,
,Tomato,24.26,100,,
