,Date 22/03/2026
Rice,42.09
Wheat,31.59
Atta (Wheat),37.27
Gram Dal,83.87
Tur/Arhar Dal,120.44
Urad Dal,117.1
Moong Dal,109.57
Masoor Dal,87.5
Sugar,45.83
Milk @,58.12
Groundnut Oil (Packed),198.25
Mustard Oil (Packed),185.48
Vanaspati (Packed),155.83
Soya Oil (Packed),153.82
Sunflower Oil (Packed),181.25
Palm Oil (Packed),142.16
Gur,55.66
Tea Loose,261.13
Salt Pack (Iodised),21.96
Potato,19.62
Onion,24.18
Tomato,25.17
Bajra (whole),37.65
Jowar (whole),43.79
Maida (wheat),41.04
Ragi (whole),55.12
Suji (whole),44.31
Besan,94.53
Desi Ghee,679.25
Butter (Pasteurised),58.84
Eggs,77.5
Brinjal,36.53
Black Pepper (whole),86.65
Coriander (whole),36.64
Cummin Seed (whole),39.59
Red Chillies (whole),27.93
Turmeric (powder),15.91
Banana,46.79
Ginger,24.33
Garlic,35.62
