,Date 09/04/2026
Rice,42.98
Wheat,30.94
Atta (Wheat),36.79
Gram Dal,84.77
Tur/Arhar Dal,122.28
Urad Dal,117.6
Moong Dal,110.8
Masoor Dal,89.28
Sugar,46.4
Milk @,59.42
Groundnut Oil (Packed),199.29
Mustard Oil (Packed),188.36
Vanaspati (Packed),157.8
Soya Oil (Packed),156.76
Sunflower Oil (Packed),183.34
Palm Oil (Packed),142.19
Gur,56.92
Tea Loose,272.09
Salt Pack (Iodised),21.99
Potato,20.09
Onion,24.97
Tomato,26.37
Bajra (whole),37.17
Jowar (whole),43.35
Maida (wheat),41.75
Ragi (whole),54.62
Suji (whole),46.49
Besan,94.84
Desi Ghee,680.43
Butter (Pasteurised),58.99
Eggs,77.2
Brinjal,38.42
Black Pepper (whole),87.34
Coriander (whole),38.11
Cummin Seed (whole),40.57
Red Chillies (whole),28.51
Turmeric (powder),16.38
Banana,47.78
Ginger,24.96
Garlic,36.69
