Date 04/12/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,43.24,64,,
Unit:(Rs./Kg.),Wheat,31.6,54,,
,Atta (Wheat),36.96,71,,
,Gram Dal,86.72,140,,
,Tur/Arhar Dal,115.88,182,,
,Urad Dal,113.75,155,,
,Moong Dal,110.38,148,,
,Masoor Dal,89.71,138,,
,Sugar,46.63,60,,
,Milk @,59.36,84,,
,Groundnut Oil (Packed),187.74,286,,
,Mustard Oil (Packed),186.36,249,,
,Vanaspati (Packed),156.34,231,,
,Soya Oil (Packed),146.86,198,,
,Sunflower Oil (Packed),164.99,242,,
,Palm Oil (Packed),132.83,187,,
,Gur,57.39,137,,
,Tea Loose,272.68,560,,
,Salt Pack (Iodised),21.52,35,,
,Potato,26.51,60,,
,Onion,26.53,60,,
,Tomato,50.39,120,,
