Date 30/03/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.17,65,,
Unit:(Rs./Kg.),Wheat,32.42,58,,
,Atta (Wheat),38.06,65,,
,Gram Dal,86.31,129,,
,Tur/Arhar Dal,128.93,180,,
,Urad Dal,118.77,155,,
,Moong Dal,111.16,150,,
,Masoor Dal,87.18,120,,
,Sugar,45.39,60,,
,Milk @,58.15,80,,
,Groundnut Oil (Packed),188.94,251,,
,Mustard Oil (Packed),170.36,229,,
,Vanaspati (Packed),152.17,209,,
,Soya Oil (Packed),147.87,179,,
,Sunflower Oil (Packed),159.56,209,,
,Palm Oil (Packed),139.3,177,,
,Gur,53.43,130,,
,Tea Loose,264.84,520,,
,Salt Pack (Iodised),21.28,31,,
,Potato,22.47,60,,
,Onion,30.5,77,,
,Tomato,19.17,90,,
