Date 11/05/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,41.63,62,,
Unit:(Rs./Kg.),Wheat,31.13,52,,
,Atta (Wheat),36.8,65,,
,Gram Dal,84.96,120,,
,Tur/Arhar Dal,124.15,190,,
,Urad Dal,116.8,153,,
,Moong Dal,110.33,150,,
,Masoor Dal,86.51,119,,
,Sugar,45.63,60,,
,Milk @,58.57,82,,
,Groundnut Oil (Packed),187.51,251,,
,Mustard Oil (Packed),168.86,242,,
,Vanaspati (Packed),153.86,214,,
,Soya Oil (Packed),148.29,196,,
,Sunflower Oil (Packed),160.84,203,,
,Palm Oil (Packed),135.1,173,,
,Gur,53.96,120,,
,Tea Loose,263.38,527,,
,Salt Pack (Iodised),21.49,33,,
,Potato,23.38,55,,
,Onion,25.81,67,,
,Tomato,21.29,100,,
