,Date 14/03/2026
Rice,42.29
Wheat,31.11
Atta (Wheat),37.08
Gram Dal,85.2
Tur/Arhar Dal,121.42
Urad Dal,117.15
Moong Dal,110.48
Masoor Dal,88.9
Sugar,46.55
Milk @,59.49
Groundnut Oil (Packed),196.19
Mustard Oil (Packed),186.66
Vanaspati (Packed),156.56
Soya Oil (Packed),151.86
Sunflower Oil (Packed),179.36
Palm Oil (Packed),139.2
Gur,56.93
Tea Loose,270.91
Salt Pack (Iodised),21.69
Potato,20.28
Onion,25.85
Tomato,28.46
Bajra (whole),38.02
Jowar (whole),44.28
Maida (wheat),41.47
Ragi (whole),55.08
Suji (whole),46.27
Besan,95.66
Desi Ghee,681.99
Butter (Pasteurised),58.8
Eggs,79.67
Brinjal,38.71
Black Pepper (whole),86.9
Coriander (whole),37.48
Cummin Seed (whole),41.08
Red Chillies (whole),28.48
Turmeric (powder),16.2
Banana,48.56
Ginger,24.84
Garlic,37.34
