,Date 24/01/2026
Rice,42.7
Wheat,31.57
Atta (Wheat),37.12
Gram Dal,85.26
Tur/Arhar Dal,115.34
Urad Dal,114.06
Moong Dal,110.43
Masoor Dal,89.01
Sugar,46.36
Milk @,59.49
Groundnut Oil (Packed),187.61
Mustard Oil (Packed),185.72
Vanaspati (Packed),156.47
Soya Oil (Packed),147.39
Sunflower Oil (Packed),169.37
Palm Oil (Packed),133.65
Gur,57.11
Tea Loose,269.35
Salt Pack (Iodised),21.3
Potato,23.02
Onion,28.43
Tomato,42.63
Bajra (whole),38.0
Jowar (whole),43.59
Maida (wheat),41.6
Ragi (whole),53.97
Suji (whole),46.22
Besan,95.5
Desi Ghee,678.05
Butter (Pasteurised),58.71
Eggs,83.82
Brinjal,41.3
Black Pepper (whole),86.89
Coriander (whole),37.43
Cummin Seed (whole),41.47
Red Chillies (whole),27.6
Turmeric (powder),16.13
Banana,47.18
Ginger,24.62
Garlic,38.67
