Date 02/09/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.92,64,,
Unit:(Rs./Kg.),Wheat,31.82,54,,
,Atta (Wheat),37.16,71,,
,Gram Dal,87.27,140,,
,Tur/Arhar Dal,116.44,182,,
,Urad Dal,113.99,157,,
,Moong Dal,110.65,148,,
,Masoor Dal,89.41,133,,
,Sugar,46.4,60,,
,Milk @,59.28,84,,
,Groundnut Oil (Packed),187.51,279,,
,Mustard Oil (Packed),187.91,249,,
,Vanaspati (Packed),156.91,231,,
,Soya Oil (Packed),147.1,198,,
,Sunflower Oil (Packed),162.14,231,,
,Palm Oil (Packed),131.88,190,,
,Gur,56.91,128,,
,Tea Loose,272.04,600,,
,Salt Pack (Iodised),21.44,33,,
,Potato,25.48,55,,
,Onion,28.37,60,,
,Tomato,48.93,120,,
