,Date 19/02/2026
Rice,43.24
Wheat,31.8
Atta (Wheat),37.29
Gram Dal,86.17
Tur/Arhar Dal,121.16
Urad Dal,116.41
Moong Dal,110.92
Masoor Dal,89.5
Sugar,46.42
Milk @,59.24
Groundnut Oil (Packed),193.34
Mustard Oil (Packed),186.69
Vanaspati (Packed),157.19
Soya Oil (Packed),150.07
Sunflower Oil (Packed),173.59
Palm Oil (Packed),135.77
Gur,57.14
Tea Loose,273.64
Salt Pack (Iodised),21.56
Potato,22.23
Onion,27.47
Tomato,32.11
Bajra (whole),37.94
Jowar (whole),44.0
Maida (wheat),42.04
Ragi (whole),54.4
Suji (whole),47.13
Besan,96.16
Desi Ghee,679.17
Butter (Pasteurised),58.97
Eggs,82.29
Brinjal,39.92
Black Pepper (whole),87.19
Coriander (whole),37.87
Cummin Seed (whole),40.89
Red Chillies (whole),27.99
Turmeric (powder),16.41
Banana,47.52
Ginger,24.81
Garlic,39.0
