,Date 17/05/2026
Rice,42.31
Wheat,31.02
Atta (Wheat),36.75
Gram Dal,83.24
Tur/Arhar Dal,120.52
Urad Dal,117.51
Moong Dal,110.22
Masoor Dal,88.16
Sugar,46.09
Milk @,59.04
Groundnut Oil (Packed),201.68
Mustard Oil (Packed),188.03
Vanaspati (Packed),159.48
Soya Oil (Packed),160.37
Sunflower Oil (Packed),185.53
Palm Oil (Packed),146.03
Gur,56.46
Tea Loose,265.25
Salt Pack (Iodised),21.89
Potato,19.9
Onion,24.13
Tomato,33.62
Bajra (whole),37.39
Jowar (whole),43.36
Maida (wheat),40.86
Ragi (whole),54.81
Suji (whole),44.55
Besan,94.71
Desi Ghee,683.3
Butter (Pasteurised),58.81
Eggs,77.65
Brinjal,37.81
Black Pepper (whole),86.8
Coriander (whole),38.05
Cummin Seed (whole),39.88
Red Chillies (whole),28.26
Turmeric (powder),16.14
Banana,46.46
Ginger,26.37
Garlic,35.21
