,Date 23/02/2026
Rice,43.09
Wheat,31.69
Atta (Wheat),37.21
Gram Dal,85.95
Tur/Arhar Dal,121.12
Urad Dal,116.52
Moong Dal,110.71
Masoor Dal,89.35
Sugar,46.35
Milk @,59.1
Groundnut Oil (Packed),193.89
Mustard Oil (Packed),186.49
Vanaspati (Packed),156.12
Soya Oil (Packed),150.47
Sunflower Oil (Packed),174.38
Palm Oil (Packed),135.92
Gur,56.78
Tea Loose,272.82
Salt Pack (Iodised),21.57
Potato,21.8
Onion,27.08
Tomato,31.05
Bajra (whole),37.85
Jowar (whole),43.75
Maida (wheat),41.95
Ragi (whole),54.45
Suji (whole),46.8
Besan,95.76
Desi Ghee,678.42
Butter (Pasteurised),58.8
Eggs,81.77
Brinjal,39.38
Black Pepper (whole),87.18
Coriander (whole),37.78
Cummin Seed (whole),40.81
Red Chillies (whole),28.19
Turmeric (powder),16.32
Banana,47.31
Ginger,24.74
Garlic,38.76
