Date 13/11/2024,States/UTs,Average Price,Maximum Price,Minimum Price,Modal Price,Andaman and Nicobar,Andhra Pradesh,Arunachal pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Delhi,DNH and DD,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Ladakh,Madhya Pradesh,Maharashtra,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
Daily Retail Prices Of Essential Commodities,Rice,43.61,68,28,40,52.33,53.5,46,42.04,37.89,44,38.14,40,52,54.5,38.5,39,40.83,44.25,39.2,53.84,49.69,48.5,38.16,48,37.3,49.89,43.5,39.83,65,39.87,42.03,49,57.88,56.3,38,39.52,37.67,43.05
Unit:(Rs./Kg.),Wheat,31.8,58,22,28,,42.5,45,36.43,29.03,31,34.29,30,40,50,34.75,29.25,24,33.5,32.13,42.63,46.73,,29.92,39.95,43.11,41.71,43.33,39.08,48,27.67,29.7,38.5,45.93,40.6,,28.51,26,30.8
,Atta (Wheat),36.92,70,29,35,69,45.25,43.67,39.42,34.58,36,38.29,34,47,45,36,34.25,36.08,40.13,36.47,44.75,46.62,49,34.59,44.74,42.7,49,48.79,41.72,47,33.53,33.7,39.33,54.94,44.4,40.75,33.92,37,39.62
,Gram Dal,95.21,145,70,90,110.33,102,106.67,95.31,88.56,90,96.71,100,102.5,106.5,93.5,92,98.5,99,93.64,95.13,112.75,132.5,92.92,99.37,109.67,98.43,101.3,100.53,102,98.73,89.37,99.17,102.28,89.8,101.33,89.35,92,90.71
,Tur/Arhar Dal,161.87,196,123,160,174.33,169,180,167.68,156.06,165,159.14,167,170.5,166.5,166.63,166.75,164.83,166,158,157.97,176.08,180,156.69,166.58,178.2,157.4,164.11,158.83,185,168.67,162.13,170,172.03,164.1,165.67,153.53,168.33,164.1
,Urad Dal,124.96,173,85,120,161.67,131.25,123.33,111.5,120.53,125,118.71,147,150.5,155,123.38,118.25,134,127.63,123.33,131.03,143.64,141,118.74,129.11,133,131.17,121.25,120.39,149,131.33,119.93,126.67,136.69,128.1,129,120.73,118,125.29
,Moong Dal,116.07,160,87,120,137.33,121.75,116.67,115.65,112.83,116,115,127,127.5,131.5,110.88,117.25,117.33,122.13,113.13,118.5,131.75,130,109.46,120.74,122.8,141.5,121.43,114.67,113,116.67,107,126.67,121.47,115.8,113.75,111.95,116.33,117.29
,Masoor Dal,90.33,160,74,90,103.33,93.25,103.33,91.58,80.36,90,89.71,90,95,100.5,86,86,87.42,105,83,93.53,101.83,132,86.8,93.95,88.3,98.11,97.64,83.44,98,93.2,86.47,93.33,92.34,92.6,108,87.73,96,95.95
,Sugar,44.93,60,34,44,55.33,44,55,47.58,44.72,45,43.86,45,43,44,43.13,44.75,47.17,49.88,45.29,43.03,43.92,50,42.67,43.63,49.4,52.22,49.79,44.89,49,44.47,42.7,51.5,44.28,40.2,50.25,44.03,44,45.9
,Milk @,58.66,83,39,60,73.67,56.75,75.67,72.9,56.44,60,56.43,56,66,59,63.38,58.25,52.92,53.5,59.31,51.25,54.77,60,55.67,59.05,73.6,79.33,73.38,53.47,48,59.73,52.59,64.17,47.34,58.1,73.75,61.79,63.33,55.8
