,Date 12/08/2026
Rice,45.22
Broken Rice,32.47
Wheat,31.37
Atta (Wheat),37.13
Gram Dal,86.49
Tur/Arhar Dal,122.86
Urad Dal,121.4
Moong Dal,111.63
Masoor Dal,90.26
Sugar,50.77
Milk @,61.11
Groundnut Oil (Packed),205.63
Mustard Oil (Packed),197.18
Vanaspati (Packed),165.02
Soya Oil (Packed),164.46
Sunflower Oil (Packed),189.4
Palm Oil (Packed),147.35
Gur,60.48
Tea Loose,275.5
Salt Pack (Iodised),22.35
Potato,22.51
Onion,36.12
Tomato,38.67
Bajra (whole),38.15
Jowar (whole),44.38
Maida (wheat),42.17
Ragi (whole),55.36
Suji (whole),47.21
Besan,95.59
Desi Ghee,695.22
Butter (Pasteurised),60.08
Eggs,85.31
Brinjal,43.31
Black Pepper (whole),88.64
Coriander (whole),42.05
Cummin Seed (whole),41.26
Red Chillies (whole),29.92
Turmeric (powder),16.7
Banana,49.98
Ginger,37.23
Garlic,43.58
