,Date 18/04/2026
Rice,42.73
Wheat,30.91
Atta (Wheat),36.82
Gram Dal,84.96
Tur/Arhar Dal,122.07
Urad Dal,117.84
Moong Dal,111.38
Masoor Dal,89.01
Sugar,46.46
Milk @,59.7
Groundnut Oil (Packed),184.77
Mustard Oil (Packed),172.04
Vanaspati (Packed),165.99
Soya Oil (Packed),162.84
Sunflower Oil (Packed),189.49
Palm Oil (Packed),162.44
Gur,57.29
Tea Loose,272.2
Salt Pack (Iodised),21.57
Potato,20.26
Onion,24.63
Tomato,28.21
Bajra (whole),37.94
Jowar (whole),43.83
Maida (wheat),41.82
Ragi (whole),54.71
Suji (whole),46.56
Besan,95.7
Desi Ghee,686.31
Butter (Pasteurised),58.77
Eggs,77.73
Brinjal,39.27
Black Pepper (whole),87.23
Coriander (whole),38.34
Cummin Seed (whole),40.99
Red Chillies (whole),28.45
Turmeric (powder),16.26
Banana,47.89
Ginger,24.97
Garlic,36.64
