Date 13/10/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,43.14,64,,
Unit:(Rs./Kg.),Wheat,31.57,55,,
,Atta (Wheat),36.95,71,,
,Gram Dal,86.95,136,,
,Tur/Arhar Dal,115.03,172,,
,Urad Dal,113.98,170,,
,Moong Dal,110.51,150,,
,Masoor Dal,89.53,140,,
,Sugar,46.5,60,,
,Milk @,59.18,85,,
,Groundnut Oil (Packed),188.59,279,,
,Mustard Oil (Packed),187.81,257,,
,Vanaspati (Packed),156.66,264,,
,Soya Oil (Packed),146.43,192,,
,Sunflower Oil (Packed),163.24,253,,
,Palm Oil (Packed),132.48,190,,
,Gur,57.24,140,,
,Tea Loose,271.86,520,,
,Salt Pack (Iodised),21.33,35,,
,Potato,25.27,60,,
,Onion,26.56,60,,
,Tomato,37.77,120,,
