Date 22/03/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.51,64,,
Unit:(Rs./Kg.),Wheat,32.5,57,,
,Atta (Wheat),38.06,71,,
,Gram Dal,88.5,140,,
,Tur/Arhar Dal,131.97,181,,
,Urad Dal,119.72,156,,
,Moong Dal,112.65,150,,
,Masoor Dal,88.37,130,,
,Sugar,45.7,60,,
,Milk @,58.98,80,,
,Groundnut Oil (Packed),189.74,279,,
,Mustard Oil (Packed),169.42,229,,
,Vanaspati (Packed),153.34,209,,
,Soya Oil (Packed),147.09,193,,
,Sunflower Oil (Packed),159.64,211,,
,Palm Oil (Packed),139.02,177,,
,Gur,54.31,130,,
,Tea Loose,268.62,520,,
,Salt Pack (Iodised),21.16,32,,
,Potato,23.25,53,,
,Onion,32.85,77,,
,Tomato,20.8,100,,
