,Date 01/06/2026
Rice,43.31
Wheat,31.02
Atta (Wheat),36.91
Gram Dal,85.46
Tur/Arhar Dal,122.85
Urad Dal,118.6
Moong Dal,111.59
Masoor Dal,90.02
Sugar,46.8
Milk @,60.21
Groundnut Oil (Packed),201.73
Mustard Oil (Packed),190.61
Vanaspati (Packed),162.22
Soya Oil (Packed),160.5
Sunflower Oil (Packed),186.07
Palm Oil (Packed),145.63
Gur,58.14
Tea Loose,274.77
Salt Pack (Iodised),21.85
Potato,21.28
Onion,26.0
Tomato,37.34
Bajra (whole),37.81
Jowar (whole),44.04
Maida (wheat),41.92
Ragi (whole),54.73
Suji (whole),46.84
Besan,95.7
Desi Ghee,687.28
Butter (Pasteurised),59.16
Eggs,79.51
Brinjal,41.2
Black Pepper (whole),87.84
Coriander (whole),39.46
Cummin Seed (whole),41.02
Red Chillies (whole),29.03
Turmeric (powder),16.47
Banana,48.87
Ginger,28.33
Garlic,37.77
