Date 30/11/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,41.9,61,,
Unit:(Rs./Kg.),Wheat,31.74,54,,
,Atta (Wheat),37.2,75,,
,Gram Dal,84.85,122,,
,Tur/Arhar Dal,113.27,160,,
,Urad Dal,113.22,152,,
,Moong Dal,108.71,140,,
,Masoor Dal,87.62,131,,
,Sugar,46.05,60,,
,Milk @,58.26,84,,
,Groundnut Oil (Packed),187.57,286,,
,Mustard Oil (Packed),185.73,242,,
,Vanaspati (Packed),154.28,231,,
,Soya Oil (Packed),146.34,191,,
,Sunflower Oil (Packed),164.8,231,,
,Palm Oil (Packed),133.6,167,,
,Gur,56.08,130,,
,Tea Loose,264.09,560,,
,Salt Pack (Iodised),21.46,35,,
,Potato,26.03,55,,
,Onion,24.96,60,,
,Tomato,50.48,120,,
