Date 05/01/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.76,65,,
Unit:(Rs./Kg.),Wheat,32.85,57,,
,Atta (Wheat),37.93,65,,
,Gram Dal,92.62,140,,
,Tur/Arhar Dal,153.9,185,,
,Urad Dal,123.13,160,,
,Moong Dal,112.48,150,,
,Masoor Dal,88.19,130,,
,Sugar,44.26,60,,
,Milk @,58.81,85,,
,Groundnut Oil (Packed),193.29,275,,
,Mustard Oil (Packed),171.07,221,,
,Vanaspati (Packed),147.66,211,,
,Soya Oil (Packed),144.63,192,,
,Sunflower Oil (Packed),154.5,209,,
,Palm Oil (Packed),135.83,165,,
,Gur,54.09,130,,
,Tea Loose,267.3,520,,
,Salt Pack (Iodised),22.66,31,,
,Potato,31.67,70,,
,Onion,39.89,80,,
,Tomato,32.38,100,,
