Date 30/07/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.82,63,,
Unit:(Rs./Kg.),Wheat,31.37,55,,
,Atta (Wheat),36.75,71,,
,Gram Dal,86.95,140,,
,Tur/Arhar Dal,119.36,183,,
,Urad Dal,114.95,157,,
,Moong Dal,110.63,148,,
,Masoor Dal,88.77,130,,
,Sugar,46,60,,
,Milk @,59.04,85,,
,Groundnut Oil (Packed),188.83,279,,
,Mustard Oil (Packed),183.8,253,,
,Vanaspati (Packed),156.5,231,,
,Soya Oil (Packed),147.09,198,,
,Sunflower Oil (Packed),160.55,253,,
,Palm Oil (Packed),129.87,177,,
,Gur,56.12,128,,
,Tea Loose,272.39,600,,
,Salt Pack (Iodised),21.38,33,,
,Potato,25.79,60,,
,Onion,28.21,60,,
,Tomato,47.52,120,,
