Date 18/02/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,43.15,67,,
Unit:(Rs./Kg.),Wheat,32.75,55,,
,Atta (Wheat),38.11,71,,
,Gram Dal,90.53,140,,
,Tur/Arhar Dal,140.86,187,,
,Urad Dal,121.96,161,,
,Moong Dal,113.01,150,,
,Masoor Dal,89.13,130,,
,Sugar,45.24,60,,
,Milk @,58.34,83,,
,Groundnut Oil (Packed),192.96,280,,
,Mustard Oil (Packed),168.79,225,,
,Vanaspati (Packed),150.16,211,,
,Soya Oil (Packed),145.25,195,,
,Sunflower Oil (Packed),155.92,211,,
,Palm Oil (Packed),137.03,176,,
,Gur,54.3,130,,
,Tea Loose,272.08,520,,
,Salt Pack (Iodised),21.47,31,,
,Potato,25.41,65,,
,Onion,37.05,80,,
,Tomato,23.06,100,,
