,Date 27/04/2026
Rice,43.05
Wheat,31.04
Atta (Wheat),36.83
Gram Dal,85.2
Tur/Arhar Dal,122.37
Urad Dal,117.99
Moong Dal,111.58
Masoor Dal,89.71
Sugar,46.51
Milk @,59.7
Groundnut Oil (Packed),200.6
Mustard Oil (Packed),189.1
Vanaspati (Packed),160.44
Soya Oil (Packed),158.63
Sunflower Oil (Packed),184.75
Palm Oil (Packed),143.42
Gur,57.67
Tea Loose,274.59
Salt Pack (Iodised),21.8
Potato,20.43
Onion,25.0
Tomato,32.74
Bajra (whole),37.55
Jowar (whole),43.67
Maida (wheat),41.8
Ragi (whole),54.79
Suji (whole),46.88
Besan,95.45
Desi Ghee,683.78
Butter (Pasteurised),58.9
Eggs,78.48
Brinjal,40.27
Black Pepper (whole),87.4
Coriander (whole),38.5
Cummin Seed (whole),41.01
Red Chillies (whole),28.71
Turmeric (powder),16.39
Banana,48.09
Ginger,25.31
Garlic,36.57
