Date 26/05/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.68,63,,
Unit:(Rs./Kg.),Wheat,31.19,55,,
,Atta (Wheat),36.59,71,,
,Gram Dal,86.57,140,,
,Tur/Arhar Dal,125.91,185,,
,Urad Dal,117.12,157,,
,Moong Dal,111.28,148,,
,Masoor Dal,88.29,130,,
,Sugar,45.91,62,,
,Milk @,59.27,80,,
,Groundnut Oil (Packed),188.05,279,,
,Mustard Oil (Packed),170.17,242,,
,Vanaspati (Packed),154.69,231,,
,Soya Oil (Packed),146.92,191,,
,Sunflower Oil (Packed),160.93,231,,
,Palm Oil (Packed),134.33,182,,
,Gur,54.99,137,,
,Tea Loose,271.01,600,,
,Salt Pack (Iodised),21.34,31,,
,Potato,24.64,60,,
,Onion,26.44,62,,
,Tomato,25,100,,
