,Date 02/05/2026
Rice,42.68
Wheat,30.88
Atta (Wheat),36.8
Gram Dal,84.57
Tur/Arhar Dal,122.17
Urad Dal,118.0
Moong Dal,111.42
Masoor Dal,89.06
Sugar,46.46
Milk @,59.84
Groundnut Oil (Packed),200.53
Mustard Oil (Packed),189.03
Vanaspati (Packed),160.57
Soya Oil (Packed),159.3
Sunflower Oil (Packed),185.46
Palm Oil (Packed),144.55
Gur,57.37
Tea Loose,270.21
Salt Pack (Iodised),21.62
Potato,20.36
Onion,24.68
Tomato,34.27
Bajra (whole),37.99
Jowar (whole),44.01
Maida (wheat),41.61
Ragi (whole),54.42
Suji (whole),46.2
Besan,95.36
Desi Ghee,687.3
Butter (Pasteurised),58.96
Eggs,78.25
Brinjal,39.7
Black Pepper (whole),87.42
Coriander (whole),38.49
Cummin Seed (whole),40.88
Red Chillies (whole),28.58
Turmeric (powder),16.26
Banana,48.03
Ginger,25.36
Garlic,36.35
