,Date 25/06/2026
Rice,43.82
Broken Rice,32.81
Wheat,31.26
Atta (Wheat),36.89
Gram Dal,85.82
Tur/Arhar Dal,122.79
Urad Dal,118.93
Moong Dal,111.47
Masoor Dal,90.13
Sugar,47.05
Milk @,60.65
Groundnut Oil (Packed),204.41
Mustard Oil (Packed),193.33
Vanaspati (Packed),164.17
Soya Oil (Packed),162.93
Sunflower Oil (Packed),188.22
Palm Oil (Packed),147.48
Gur,58.8
Tea Loose,275.4
Salt Pack (Iodised),21.85
Potato,22.14
Onion,28.41
Tomato,43.96
Bajra (whole),38.1
Jowar (whole),44.19
Maida (wheat),42.12
Ragi (whole),54.94
Suji (whole),47.32
Besan,96.06
Desi Ghee,691.19
Butter (Pasteurised),59.39
Eggs,82.05
Brinjal,41.74
Black Pepper (whole),87.95
Coriander (whole),40.56
Cummin Seed (whole),41.23
Red Chillies (whole),29.28
Turmeric (powder),16.53
Banana,49.43
Ginger,31.32
Garlic,39.97
